experiment,revision,run,case,arm,repetition,run_ms,main_ms,verification_ms,tool_calls,model_turns,tool_output_bytes,input_tokens,cache_read_tokens,incomplete_sessions,retained_findings,expected_roots,confirmed_roots,severity_matched_roots,clean_case_findings
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,40,clean,linked-all,2,5660,4636,0,1,2,2969,28234,27392,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,41,contracts-02,linked-verification,2,8882,7908,1,5,4,1378,27277,81664,0,0,1,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,42,clean,baseline,2,5409,4162,0,5,3,2509,28129,55552,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,43,chain-clean,linked-all,2,54625,40003,13636,19,8,11593,55516,161280,0,1,0,0,0,1
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,44,contracts-01,baseline,2,6018,5052,0,7,4,3765,28486,81920,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,45,defect,linked-verification,2,18829,14451,3381,10,5,9502,54853,82688,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,46,contracts-02,linked-review,2,6374,5385,0,3,3,2832,27542,54784,0,0,1,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,47,contracts-01,linked-all,2,4591,3542,0,2,2,2447,27501,26880,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,48,chain-clean,linked-review,2,12356,11303,0,4,5,2957,28454,110336,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,49,contracts-02,linked-review,3,14953,8226,5741,6,5,3942,52700,79872,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,50,defect,linked-verification,3,21524,16690,3817,11,7,3887,54662,144896,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,51,chain-clean,linked-all,3,32837,22571,9239,12,9,7927,54058,189184,0,1,0,0,0,1
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,52,contracts-01,linked-review,3,6349,5106,0,2,2,2423,27533,26880,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,53,defect,linked-all,3,19295,12294,5976,9,4,12566,55980,53248,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,54,clean,linked-review,3,5604,4345,1,7,3,6088,28682,56064,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,55,clean,baseline,3,4464,3476,0,3,2,2143,28110,27136,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,56,clean,linked-all,3,5458,4302,0,3,2,3045,27806,27648,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,57,chain-defect,linked-all,3,22641,9556,12112,14,9,10882,54692,185600,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,58,chain-defect,linked-verification,3,43534,30842,11740,20,10,6440,53709,216576,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,59,chain-defect,linked-review,3,21503,10606,9657,17,10,6272,53833,207104,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,60,defect,linked-review,3,26249,20479,4458,13,6,8372,55029,111616,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,61,contracts-01,linked-verification,3,12097,10834,0,5,4,2198,28281,81664,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,62,contracts-02,linked-verification,3,5332,4376,0,3,3,565,27138,54016,0,0,1,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,63,defect,baseline,3,17589,10661,5876,6,5,5035,54246,81152,0,3,3,3,3,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,64,contracts-02,linked-all,3,18532,12805,4742,8,9,10599,54286,190208,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,65,chain-clean,linked-review,3,19600,18310,0,3,4,4061,28799,83968,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,66,contracts-01,linked-all,3,6121,4754,0,4,3,2668,27776,54016,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,67,contracts-02,baseline,3,7590,6550,0,4,4,1508,27768,81408,0,0,1,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,68,chain-clean,baseline,3,68414,49315,18119,19,8,6898,56021,132352,0,1,0,0,0,1
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,69,chain-defect,baseline,3,19408,12529,5887,13,8,6061,53474,157952,0,1,1,1,1,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,70,clean,linked-verification,3,9011,7976,0,8,3,3637,28936,55296,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,71,contracts-01,baseline,3,8395,7173,0,5,4,2098,27867,81920,0,0,0,0,0,0
phases,ceed7c1ddb316bd44438224e5c79fdd29379772a,72,chain-clean,linked-verification,3,24137,22855,1,11,5,4803,29562,115456,0,0,0,0,0,0
diff-batches,c56d831577f404920a29192be414545677c914c8,01,batch-contract-02,diff-batches,1,31973,17469,13461,13,7,37395,78600,220416,0,1,1,1,1,0
diff-batches,c56d831577f404920a29192be414545677c914c8,02,batch-contract-01,baseline,1,16986,16003,0,6,5,58416,55040,203008,0,0,0,0,0,0
diff-batches,c56d831577f404920a29192be414545677c914c8,03,batch-contract-02,baseline,1,40239,29933,9066,15,10,100384,102857,377600,0,1,1,1,1,0
diff-batches,c56d831577f404920a29192be414545677c914c8,04,batch-contract-01,diff-batches,1,17775,16812,0,6,7,19821,45652,260352,0,0,0,0,0,0
diff-batches,c56d831577f404920a29192be414545677c914c8,05,batch-contract-01,diff-batches,2,34339,18427,14902,15,8,18356,81853,233216,0,0,0,0,0,0
diff-batches,c56d831577f404920a29192be414545677c914c8,06,batch-contract-02,diff-batches,2,21483,16653,3836,7,9,12199,79432,288512,0,1,1,1,1,0
diff-batches,c56d831577f404920a29192be414545677c914c8,07,batch-contract-01,baseline,2,18154,16915,0,6,7,31334,48062,274432,0,0,0,0,0,0
diff-batches,c56d831577f404920a29192be414545677c914c8,08,batch-contract-02,baseline,2,21493,14743,5785,9,8,33618,85307,252928,0,1,1,1,1,0
diff-batches,c56d831577f404920a29192be414545677c914c8,09,batch-contract-01,diff-batches,3,13178,12193,0,6,5,60434,55692,206848,0,0,0,0,0,0
diff-batches,c56d831577f404920a29192be414545677c914c8,10,batch-contract-02,baseline,3,25384,19881,4427,8,9,16614,81199,289536,0,1,1,1,1,0
diff-batches,c56d831577f404920a29192be414545677c914c8,11,batch-contract-02,diff-batches,3,28318,21012,6314,12,12,19001,82637,417536,0,1,1,1,1,0
diff-batches,c56d831577f404920a29192be414545677c914c8,12,batch-contract-01,baseline,3,23902,22921,0,7,8,58840,61452,296192,0,0,0,0,0,0
full-branch,c56d831577f404920a29192be414545677c914c8,1,branch,baseline,1,206726,181464,24222,52,54,369263,232704,4006912,0,1,,,,
full-branch,c56d831577f404920a29192be414545677c914c8,2,branch,diff-batches,1,289487,179819,108601,57,53,362142,238913,3426048,0,2,,,,
